AGE Week,Corrected Date,Bird No.,Dead,Cull,Pieces,%HD,%HH,FEED (bags)
21,2024-10-19,1978,,,458,23.15,23.07,4
21,2024-10-20,1978,,,587,29.22,29.57,4
21,2024-10-21,1978,,,689,34.63,34.5,4
21,2024-10-22,1978,,,841,42.51,42.36,4
21,2024-10-23,1918,,,990,50.35,49.37,4
21,2024-10-24,1978,,,1071,54.14,53.95,4
21,2024-10-25,1978,,,1200,60.66,60.46,4
22,2024-10-26,1978,,,1337,67.59,67.35,4
22,2024-10-27,1978,,,1410,71.28,71.03,4
22,2024-10-28,1978,,,1500,75.83,75.56,4
22,2024-10-29,1978,,,1530,77.35,77.37,4
23,2024-11-02,1977,1,,1680,84.97,84.63,4
23,2024-11-03,1977,,,1683,85.12,84.78,4
23,2024-11-04,1977,,,1735,87.75,87.4,4
23,2024-11-05,1977,,,1706,86.29,85.94,4
23,2024-11-06,1977,,,1689,85.43,85.08,4
23,2024-11-07,1977,,,1721,87.05,86.7,4
23,2024-11-08,1977,,,1747,88.36,88.01,4
24,2024-11-09,1977,,,1748,88.41,88.06,4
24,2024-11-10,1976,1,,1715,86.79,86.39,4
24,2024-11-11,1976,,,1747,88.41,88.02,4
24,2024-11-12,1976,,,1750,88.56,88.16,4
24,2024-11-13,1975,,1,1770,89.62,89.16,4
24,2024-11-14,1971,,4,1776,90.1,90.1,4
24,2024-11-15,1969,2,,1739,88.31,88.31,4
25,2024-11-16,1969,,2,1778,90.29,89.57178841,4
25,2024-11-17,1967,,,1792,91.1,90.27707809,4
25,2024-11-18,1967,,,1774,90.18,89.37027708,4
25,2024-11-19,1967,,,1793,91.15,90.32745592,4
25,2024-11-20,1967,,,1765,89.73,88.91687657,4
25,2024-11-21,1967,,,1777,90.34,89.52141058,4
25,2024-11-22,1967,,,1755,89.22,88.41309824,4
26,2024-11-23,1966,1,,1883,95.77,94.86146096,4
26,2024-11-24,1966,,,1785,90.79,89.92443325,4
26,2024-11-25,1965,1,,1776,90.38,89.47103275,4
26,2024-11-26,1963,,2,1748,89.04,88.0604534,4
26,2024-11-27,1962,,1,1735,88.43,87.40554156,4
26,2024-11-28,1962,,,1770,87.15,89.16876574,4
26,2024-11-29,1961,,1,1729,88.16,87.10327456,4
27,2024-11-30,1960,,1,1770,90.3,89.16876574,4
27,2024-12-01,1960,,,1826,93.16,91.98992443,4
27,2024-12-02,1960,,,1750,89.28,88.16120907,4
27,2024-12-03,1959,,1,1763,89.99,88.81612091,4
27,2024-12-04,1959,,,1774,90.55,89.37027708,4
27,2024-12-05,1959,,,1775,90.76,89.42065491,4
27,2024-12-06,1958,,1,1787,91.26,90.02518892,4
28,2024-12-07,1958,,,1769,90.09,89.11838791,4
28,2024-12-08,1958,,,1791,91.47,90.22670025,4
28,2024-12-09,1956,2,,1810,92.53,91.18387909,4
28,2024-12-10,1956,,,1791,91.56,90.22670025,4
28,2024-12-11,1956,,,1805,92.28,90.93198992,4
28,2024-12-12,1956,,,1825,93.3,91.9395466,4
28,2024-12-13,1955,1,,1823,93.29,91.83879093,4
29,2024-12-14,1955,,,1833,93.75,92.34,4
29,2024-12-15,1955,,,1817,92.94,91.53,4
29,2024-12-16,1955,,,1754,89.17,88.36,4
29,2024-12-17,1955,,,1810,92.58,91.18,5
29,2024-12-18,1955,,,1793,91.71,90.32,4
29,2024-12-19,1955,,,1800,92.07,90.68,4.5
29,2024-12-20,1954,1,,1814,92.83,91.38,4.5
30,2024-12-21,1953,1,,1764,90.32,88.86,4.5
30,2024-12-22,1953,,,1814,92.88,91.38,4.5
30,2024-12-23,1951,2,,1795,92,90.42,4.5
30,2024-12-24,1951,,,1830,93.79,92.19,4.5
30,2024-12-25,1951,,,1805,92.51,90.93,4.5
30,2024-12-26,1950,1,,1770,90.76,89.16,4
30,2024-12-27,1950,,,1880,92.3,94.71,4
31,2024-12-28,1949,1,,1749,89.73,88.11,4
31,2024-12-29,1948,1,,1768,90.75,89.06,4
31,2024-12-30,1947,1,,1771,90.96,89.21,4
31,2024-12-31,1947,,,1770,90.9,89.16,4
31,2025-01-01,1946,1,,1745,89.67,87.9,4
31,2025-01-02,1946,,,1770,90.95,89.16,4
31,2025-01-03,1946,,,1740,89.41,87.65,4
32,2025-01-04,1946,,,1770,90.95,89.16,5
32,2025-01-05,1945,1,,1758,90.38,88.56,4
32,2025-01-06,1945,,,1740,89.46,87.65,4
32,2025-01-07,1944,1,,1788,91.97,90.07,4
32,2025-01-08,1944,,,1719,88.42,86.59,4
32,2025-01-09,1944,,,1770,91.04,89.16,4
32,2025-01-10,1943,1,,1767,90.94,89.01,3.5
33,2025-01-11,1941,2,,1738,89.54,87.55,3.5
33,2025-01-12,1940,1,,1741,89.74,87.7,3
33,2025-01-13,1940,,,1710,88.14,86.14,3
33,2025-01-14,1940,,,1700,87.62,85.64,5
33,2025-01-15,1939,1,,1699,87.62,85.59,4
33,2025-01-16,1938,1,,1772,88.85,89.26,4.5
33,2025-01-17,1937,1,,1720,88.79,86.64,4.5
34,2025-01-18,1935,2,,1710,88.37,86.14,4
34,2025-01-19,1934,1,,1723,89.08,86.8,4
34,2025-01-20,1934,,,1722,89.03,86.75,4
34,2025-01-21,1932,1,,1732,89.64,87.25,4.5
34,2025-01-22,1929,3,,1729,89.63,87.1,4
34,2025-01-23,1928,1,,1717,89.05,86.49,4.5
34,2025-01-24,1927,1,,1722,89.36,86.75,4
35,2025-01-25,1927,,,1712,88.84,86.24685139,4
35,2025-01-26,1927,,,1712,88.84,86.24685139,4
35,2025-01-27,1927,,,1714,88.94,86.34760705,4.5
35,2025-01-28,1927,,,1710,88.73,86.14609572,4
35,2025-01-29,1925,2,,1725,89.61,86.9,4.5
35,2025-01-30,1923,2,,1705,88.66,85.89,4
35,2025-01-31,1923,,,1700,88.4,85.64,4
36,2025-02-01,1923,,,1727,89.8,87,4
36,2025-02-02,1923,,,1710,88.92,86.14609572,4
36,2025-02-03,1923,,,1685,87.62,84.88664987,4
